Feature,Importance
"line156 x end, line156 y start",0.0
"line156 x end, line156 y end",0.0008967122823071737
"line157 x start, line157 y start",0.0
"line157 x start, line157 y end",0.00018473058942741774
"line157 x end, line157 y start",0.0
"line157 x end, line157 y end",0.0005852784458372519
"line158 x start, line158 y start",0.0
"line158 x start, line158 y end",0.0014153233752280143
"line158 x end, line158 y start",0.0
"line158 x end, line158 y end",0.001285443094449872
"line159 x start, line159 y start",0.0
"line159 x start, line159 y end",0.0007863080459878509
"line159 x end, line159 y start",0.0
"line159 x end, line159 y end",0.0015086758045520995
"line160 x start, line160 y start",0.0
"line160 x start, line160 y end",0.0021309174462859556
"line160 x end, line160 y start",0.0
"line160 x end, line160 y end",0.000731101300123654
"line161 x start, line161 y start",0.0
"line161 x start, line161 y end",0.0006169596319162335
"line161 x end, line161 y start",0.0
"line161 x end, line161 y end",0.0009778145909663102
"line162 x start, line162 y start",0.0
"line162 x start, line162 y end",0.0005927675853058833
"line162 x end, line162 y start",0.0
"line162 x end, line162 y end",0.0013655210930255612
"line163 x start, line163 y start",0.0
"line163 x start, line163 y end",0.003706067419940221
"line163 x end, line163 y start",0.0
"line163 x end, line163 y end",0.0016493865525775378
"line164 x start, line164 y start",0.0
"line164 x start, line164 y end",0.0016712255753912298
"line164 x end, line164 y start",0.0
"line164 x end, line164 y end",0.0006991987333980968
"line165 x start, line165 y start",0.0
"line165 x start, line165 y end",0.00027172191729890675
"line165 x end, line165 y start",0.0
"line165 x end, line165 y end",0.0015405630418335841
"line166 x start, line166 y start",0.0
"line166 x start, line166 y end",0.0013751130562653182
"line166 x end, line166 y start",0.0
"line166 x end, line166 y end",0.0008899263444782002
"line167 x start, line167 y start",0.0
"line167 x start, line167 y end",0.00039808021179483545
"line167 x end, line167 y start",0.0
"line167 x end, line167 y end",0.002794378928098878
"line168 x start, line168 y start",0.0
"line168 x start, line168 y end",0.0021449445910738346
"line168 x end, line168 y start",0.0
"line168 x end, line168 y end",0.0006306226396287351
"line169 x start, line169 y start",0.0
"line169 x start, line169 y end",0.00015032722089029996
"line169 x end, line169 y start",0.0
"line169 x end, line169 y end",0.0008625221587775982
"line170 x start, line170 y start",0.0
"line170 x start, line170 y end",0.0005861986123435941
"line170 x end, line170 y start",0.0
